scrambled,original,text
Zsoit,Zsolt,"###Human:
Correct this hungarian first name: Zsoit

###Assistant:
Zsolt"
Zsoít,Zsolt,"###Human:
Correct this hungarian first name: Zsoít

###Assistant:
Zsolt"
Zsolt,Zsolt,"###Human:
Correct this hungarian first name: Zsolt

###Assistant:
Zsolt"
Iános,János,"###Human:
Correct this hungarian first name: Iános

###Assistant:
János"
Íános,János,"###Human:
Correct this hungarian first name: Íános

###Assistant:
János"
Janos,János,"###Human:
Correct this hungarian first name: Janos

###Assistant:
János"
Jánós,János,"###Human:
Correct this hungarian first name: Jánós

###Assistant:
János"
Jánös,János,"###Human:
Correct this hungarian first name: Jánös

###Assistant:
János"
Jánős,János,"###Human:
Correct this hungarian first name: Jánős

###Assistant:
János"
János,János,"###Human:
Correct this hungarian first name: János

###Assistant:
János"
Nólen,Nolen,"###Human:
Correct this hungarian first name: Nólen

###Assistant:
Nolen"
Nölen,Nolen,"###Human:
Correct this hungarian first name: Nölen

###Assistant:
Nolen"
Nőlen,Nolen,"###Human:
Correct this hungarian first name: Nőlen

###Assistant:
Nolen"
Noien,Nolen,"###Human:
Correct this hungarian first name: Noien

###Assistant:
Nolen"
Noíen,Nolen,"###Human:
Correct this hungarian first name: Noíen

###Assistant:
Nolen"
Nolen,Nolen,"###Human:
Correct this hungarian first name: Nolen

###Assistant:
Nolen"
Nolén,Nolen,"###Human:
Correct this hungarian first name: Nolén

###Assistant:
Nolen"
Nolcn,Nolen,"###Human:
Correct this hungarian first name: Nolcn

###Assistant:
Nolen"
Erík,Erik,"###Human:
Correct this hungarian first name: Erík

###Assistant:
Erik"
Erik,Erik,"###Human:
Correct this hungarian first name: Erik

###Assistant:
Erik"
Erlk,Erik,"###Human:
Correct this hungarian first name: Erlk

###Assistant:
Erik"
Erjk,Erik,"###Human:
Correct this hungarian first name: Erjk

###Assistant:
Erik"
Érik,Erik,"###Human:
Correct this hungarian first name: Érik

###Assistant:
Erik"
Frik,Erik,"###Human:
Correct this hungarian first name: Frik

###Assistant:
Erik"
Bendeguz,Bendegúz,"###Human:
Correct this hungarian first name: Bendeguz

###Assistant:
Bendegúz"
Bendegüz,Bendegúz,"###Human:
Correct this hungarian first name: Bendegüz

###Assistant:
Bendegúz"
Bendegűz,Bendegúz,"###Human:
Correct this hungarian first name: Bendegűz

###Assistant:
Bendegúz"
Bendegúz,Bendegúz,"###Human:
Correct this hungarian first name: Bendegúz

###Assistant:
Bendegúz"
Bendeqúz,Bendegúz,"###Human:
Correct this hungarian first name: Bendeqúz

###Assistant:
Bendegúz"
Bendégúz,Bendegúz,"###Human:
Correct this hungarian first name: Bendégúz

###Assistant:
Bendegúz"
Bendcgúz,Bendegúz,"###Human:
Correct this hungarian first name: Bendcgúz

###Assistant:
Bendegúz"
Benqegúz,Bendegúz,"###Human:
Correct this hungarian first name: Benqegúz

###Assistant:
Bendegúz"
Béndegúz,Bendegúz,"###Human:
Correct this hungarian first name: Béndegúz

###Assistant:
Bendegúz"
Bcndegúz,Bendegúz,"###Human:
Correct this hungarian first name: Bcndegúz

###Assistant:
Bendegúz"
Dendegúz,Bendegúz,"###Human:
Correct this hungarian first name: Dendegúz

###Assistant:
Bendegúz"
Pendegúz,Bendegúz,"###Human:
Correct this hungarian first name: Pendegúz

###Assistant:
Bendegúz"
Sandor,Sándor,"###Human:
Correct this hungarian first name: Sandor

###Assistant:
Sándor"
Sándór,Sándor,"###Human:
Correct this hungarian first name: Sándór

###Assistant:
Sándor"
Sándör,Sándor,"###Human:
Correct this hungarian first name: Sándör

###Assistant:
Sándor"
Sándőr,Sándor,"###Human:
Correct this hungarian first name: Sándőr

###Assistant:
Sándor"
Sándor,Sándor,"###Human:
Correct this hungarian first name: Sándor

###Assistant:
Sándor"
Sánqor,Sándor,"###Human:
Correct this hungarian first name: Sánqor

###Assistant:
Sándor"
Hanna,Hanna,"###Human:
Correct this hungarian first name: Hanna

###Assistant:
Hanna"
Hanná,Hanna,"###Human:
Correct this hungarian first name: Hanná

###Assistant:
Hanna"
Hánna,Hanna,"###Human:
Correct this hungarian first name: Hánna

###Assistant:
Hanna"
Anna,Anna,"###Human:
Correct this hungarian first name: Anna

###Assistant:
Anna"
Anná,Anna,"###Human:
Correct this hungarian first name: Anná

###Assistant:
Anna"
Ánna,Anna,"###Human:
Correct this hungarian first name: Ánna

###Assistant:
Anna"
Zóé,Zoé,"###Human:
Correct this hungarian first name: Zóé

###Assistant:
Zoé"
Zöé,Zoé,"###Human:
Correct this hungarian first name: Zöé

###Assistant:
Zoé"
Zőé,Zoé,"###Human:
Correct this hungarian first name: Zőé

###Assistant:
Zoé"
Zoe,Zoé,"###Human:
Correct this hungarian first name: Zoe

###Assistant:
Zoé"
Zoé,Zoé,"###Human:
Correct this hungarian first name: Zoé

###Assistant:
Zoé"
Zoc,Zoé,"###Human:
Correct this hungarian first name: Zoc

###Assistant:
Zoé"
Lena,Léna,"###Human:
Correct this hungarian first name: Lena

###Assistant:
Léna"
Léna,Léna,"###Human:
Correct this hungarian first name: Léna

###Assistant:
Léna"
Léná,Léna,"###Human:
Correct this hungarian first name: Léná

###Assistant:
Léna"
Lcna,Léna,"###Human:
Correct this hungarian first name: Lcna

###Assistant:
Léna"
Lúca,Luca,"###Human:
Correct this hungarian first name: Lúca

###Assistant:
Luca"
Lüca,Luca,"###Human:
Correct this hungarian first name: Lüca

###Assistant:
Luca"
Lűca,Luca,"###Human:
Correct this hungarian first name: Lűca

###Assistant:
Luca"
Luca,Luca,"###Human:
Correct this hungarian first name: Luca

###Assistant:
Luca"
Lucá,Luca,"###Human:
Correct this hungarian first name: Lucá

###Assistant:
Luca"
Luea,Luca,"###Human:
Correct this hungarian first name: Luea

###Assistant:
Luca"
Luoa,Luca,"###Human:
Correct this hungarian first name: Luoa

###Assistant:
Luca"
Emma,Emma,"###Human:
Correct this hungarian first name: Emma

###Assistant:
Emma"
Emmá,Emma,"###Human:
Correct this hungarian first name: Emmá

###Assistant:
Emma"
Émma,Emma,"###Human:
Correct this hungarian first name: Émma

###Assistant:
Emma"
Fmma,Emma,"###Human:
Correct this hungarian first name: Fmma

###Assistant:
Emma"
Zsofia,Zsófia,"###Human:
Correct this hungarian first name: Zsofia

###Assistant:
Zsófia"
Zsöfia,Zsófia,"###Human:
Correct this hungarian first name: Zsöfia

###Assistant:
Zsófia"
Zsőfia,Zsófia,"###Human:
Correct this hungarian first name: Zsőfia

###Assistant:
Zsófia"
Zsófía,Zsófia,"###Human:
Correct this hungarian first name: Zsófía

###Assistant:
Zsófia"
Zsófia,Zsófia,"###Human:
Correct this hungarian first name: Zsófia

###Assistant:
Zsófia"
Zsófiá,Zsófia,"###Human:
Correct this hungarian first name: Zsófiá

###Assistant:
Zsófia"
Zsófla,Zsófia,"###Human:
Correct this hungarian first name: Zsófla

###Assistant:
Zsófia"
Zsófja,Zsófia,"###Human:
Correct this hungarian first name: Zsófja

###Assistant:
Zsófia"
Bóglárka,Boglárka,"###Human:
Correct this hungarian first name: Bóglárka

###Assistant:
Boglárka"
Böglárka,Boglárka,"###Human:
Correct this hungarian first name: Böglárka

###Assistant:
Boglárka"
Bőglárka,Boglárka,"###Human:
Correct this hungarian first name: Bőglárka

###Assistant:
Boglárka"
Bogiárka,Boglárka,"###Human:
Correct this hungarian first name: Bogiárka

###Assistant:
Boglárka"
Bogíárka,Boglárka,"###Human:
Correct this hungarian first name: Bogíárka

###Assistant:
Boglárka"
Boglarka,Boglárka,"###Human:
Correct this hungarian first name: Boglarka

###Assistant:
Boglárka"
Boglárka,Boglárka,"###Human:
Correct this hungarian first name: Boglárka

###Assistant:
Boglárka"
Boglárká,Boglárka,"###Human:
Correct this hungarian first name: Boglárká

###Assistant:
Boglárka"
Boqlárka,Boglárka,"###Human:
Correct this hungarian first name: Boqlárka

###Assistant:
Boglárka"
Doglárka,Boglárka,"###Human:
Correct this hungarian first name: Doglárka

###Assistant:
Boglárka"
Poglárka,Boglárka,"###Human:
Correct this hungarian first name: Poglárka

###Assistant:
Boglárka"
Líli,Lili,"###Human:
Correct this hungarian first name: Líli

###Assistant:
Lili"
Liii,Lili,"###Human:
Correct this hungarian first name: Liii

###Assistant:
Lili"
Liíi,Lili,"###Human:
Correct this hungarian first name: Liíi

###Assistant:
Lili"
Lilí,Lili,"###Human:
Correct this hungarian first name: Lilí

###Assistant:
Lili"
Lili,Lili,"###Human:
Correct this hungarian first name: Lili

###Assistant:
Lili"
Lill,Lili,"###Human:
Correct this hungarian first name: Lill

###Assistant:
Lili"
Lilj,Lili,"###Human:
Correct this hungarian first name: Lilj

###Assistant:
Lili"
Llli,Lili,"###Human:
Correct this hungarian first name: Llli

###Assistant:
Lili"
Ljli,Lili,"###Human:
Correct this hungarian first name: Ljli

###Assistant:
Lili"
Míra,Mira,"###Human:
Correct this hungarian first name: Míra

###Assistant:
Mira"
Mira,Mira,"###Human:
Correct this hungarian first name: Mira

###Assistant:
Mira"
Mirá,Mira,"###Human:
Correct this hungarian first name: Mirá

###Assistant:
Mira"
Mlra,Mira,"###Human:
Correct this hungarian first name: Mlra

###Assistant:
Mira"
Mjra,Mira,"###Human:
Correct this hungarian first name: Mjra

###Assistant:
Mira"
Lílien,Lilien,"###Human:
Correct this hungarian first name: Lílien

###Assistant:
Lilien"
Liiien,Lilien,"###Human:
Correct this hungarian first name: Liiien

###Assistant:
Lilien"
Liíien,Lilien,"###Human:
Correct this hungarian first name: Liíien

###Assistant:
Lilien"
Lilíen,Lilien,"###Human:
Correct this hungarian first name: Lilíen

###Assistant:
Lilien"
Lilien,Lilien,"###Human:
Correct this hungarian first name: Lilien

###Assistant:
Lilien"
Lilién,Lilien,"###Human:
Correct this hungarian first name: Lilién

###Assistant:
Lilien"
Lilicn,Lilien,"###Human:
Correct this hungarian first name: Lilicn

###Assistant:
Lilien"
Lillen,Lilien,"###Human:
Correct this hungarian first name: Lillen

###Assistant:
Lilien"
Liljen,Lilien,"###Human:
Correct this hungarian first name: Liljen

###Assistant:
Lilien"
Lllien,Lilien,"###Human:
Correct this hungarian first name: Lllien

###Assistant:
Lilien"
Ljlien,Lilien,"###Human:
Correct this hungarian first name: Ljlien

###Assistant:
Lilien"
Nora,Nóra,"###Human:
Correct this hungarian first name: Nora

###Assistant:
Nóra"
Nöra,Nóra,"###Human:
Correct this hungarian first name: Nöra

###Assistant:
Nóra"
Nőra,Nóra,"###Human:
Correct this hungarian first name: Nőra

###Assistant:
Nóra"
Nóra,Nóra,"###Human:
Correct this hungarian first name: Nóra

###Assistant:
Nóra"
Nórá,Nóra,"###Human:
Correct this hungarian first name: Nórá

###Assistant:
Nóra"
Laúra,Laura,"###Human:
Correct this hungarian first name: Laúra

###Assistant:
Laura"
Laüra,Laura,"###Human:
Correct this hungarian first name: Laüra

###Assistant:
Laura"
Laűra,Laura,"###Human:
Correct this hungarian first name: Laűra

###Assistant:
Laura"
Laura,Laura,"###Human:
Correct this hungarian first name: Laura

###Assistant:
Laura"
Laurá,Laura,"###Human:
Correct this hungarian first name: Laurá

###Assistant:
Laura"
Láura,Laura,"###Human:
Correct this hungarian first name: Láura

###Assistant:
Laura"
Lara,Lara,"###Human:
Correct this hungarian first name: Lara

###Assistant:
Lara"
Lará,Lara,"###Human:
Correct this hungarian first name: Lará

###Assistant:
Lara"
Lára,Lara,"###Human:
Correct this hungarian first name: Lára

###Assistant:
Lara"
Maia,Maja,"###Human:
Correct this hungarian first name: Maia

###Assistant:
Maja"
Maía,Maja,"###Human:
Correct this hungarian first name: Maía

###Assistant:
Maja"
Maja,Maja,"###Human:
Correct this hungarian first name: Maja

###Assistant:
Maja"
Majá,Maja,"###Human:
Correct this hungarian first name: Majá

###Assistant:
Maja"
Mája,Maja,"###Human:
Correct this hungarian first name: Mája

###Assistant:
Maja"
Fanní,Fanni,"###Human:
Correct this hungarian first name: Fanní

###Assistant:
Fanni"
Fanni,Fanni,"###Human:
Correct this hungarian first name: Fanni

###Assistant:
Fanni"
Fannl,Fanni,"###Human:
Correct this hungarian first name: Fannl

###Assistant:
Fanni"
Fannj,Fanni,"###Human:
Correct this hungarian first name: Fannj

###Assistant:
Fanni"
Fánni,Fanni,"###Human:
Correct this hungarian first name: Fánni

###Assistant:
Fanni"
Eanni,Fanni,"###Human:
Correct this hungarian first name: Eanni

###Assistant:
Fanni"
Éanni,Fanni,"###Human:
Correct this hungarian first name: Éanni

###Assistant:
Fanni"
Iázmin,Jázmin,"###Human:
Correct this hungarian first name: Iázmin

###Assistant:
Jázmin"
Íázmin,Jázmin,"###Human:
Correct this hungarian first name: Íázmin

###Assistant:
Jázmin"
Jazmin,Jázmin,"###Human:
Correct this hungarian first name: Jazmin

###Assistant:
Jázmin"
Jázmín,Jázmin,"###Human:
Correct this hungarian first name: Jázmín

###Assistant:
Jázmin"
Jázmin,Jázmin,"###Human:
Correct this hungarian first name: Jázmin

###Assistant:
Jázmin"
Jázmln,Jázmin,"###Human:
Correct this hungarian first name: Jázmln

###Assistant:
Jázmin"
Jázmjn,Jázmin,"###Human:
Correct this hungarian first name: Jázmjn

###Assistant:
Jázmin"
Ízabella,Izabella,"###Human:
Correct this hungarian first name: Ízabella

###Assistant:
Izabella"
Izabeila,Izabella,"###Human:
Correct this hungarian first name: Izabeila

###Assistant:
Izabella"
Izabeíla,Izabella,"###Human:
Correct this hungarian first name: Izabeíla

###Assistant:
Izabella"
Izabelia,Izabella,"###Human:
Correct this hungarian first name: Izabelia

###Assistant:
Izabella"
Izabelía,Izabella,"###Human:
Correct this hungarian first name: Izabelía

###Assistant:
Izabella"
Izabella,Izabella,"###Human:
Correct this hungarian first name: Izabella

###Assistant:
Izabella"
Izabellá,Izabella,"###Human:
Correct this hungarian first name: Izabellá

###Assistant:
Izabella"
Izabélla,Izabella,"###Human:
Correct this hungarian first name: Izabélla

###Assistant:
Izabella"
Izabclla,Izabella,"###Human:
Correct this hungarian first name: Izabclla

###Assistant:
Izabella"
Izaqella,Izabella,"###Human:
Correct this hungarian first name: Izaqella

###Assistant:
Izabella"
Izábella,Izabella,"###Human:
Correct this hungarian first name: Izábella

###Assistant:
Izabella"
Jzabella,Izabella,"###Human:
Correct this hungarian first name: Jzabella

###Assistant:
Izabella"
Ólívia,Olívia,"###Human:
Correct this hungarian first name: Ólívia

###Assistant:
Olívia"
Ölívia,Olívia,"###Human:
Correct this hungarian first name: Ölívia

###Assistant:
Olívia"
Őlívia,Olívia,"###Human:
Correct this hungarian first name: Őlívia

###Assistant:
Olívia"
Oiívia,Olívia,"###Human:
Correct this hungarian first name: Oiívia

###Assistant:
Olívia"
Oíívia,Olívia,"###Human:
Correct this hungarian first name: Oíívia

###Assistant:
Olívia"
Olivia,Olívia,"###Human:
Correct this hungarian first name: Olivia

###Assistant:
Olívia"
Olívía,Olívia,"###Human:
Correct this hungarian first name: Olívía

###Assistant:
Olívia"
Olívia,Olívia,"###Human:
Correct this hungarian first name: Olívia

###Assistant:
Olívia"
Olíviá,Olívia,"###Human:
Correct this hungarian first name: Olíviá

###Assistant:
Olívia"
Olívla,Olívia,"###Human:
Correct this hungarian first name: Olívla

###Assistant:
Olívia"
Olívja,Olívia,"###Human:
Correct this hungarian first name: Olívja

###Assistant:
Olívia"
Ollvia,Olívia,"###Human:
Correct this hungarian first name: Ollvia

###Assistant:
Olívia"
Oljvia,Olívia,"###Human:
Correct this hungarian first name: Oljvia

###Assistant:
Olívia"
Sara,Sára,"###Human:
Correct this hungarian first name: Sara

###Assistant:
Sára"
Sára,Sára,"###Human:
Correct this hungarian first name: Sára

###Assistant:
Sára"
Sárá,Sára,"###Human:
Correct this hungarian first name: Sárá

###Assistant:
Sára"
Greta,Gréta,"###Human:
Correct this hungarian first name: Greta

###Assistant:
Gréta"
Gréta,Gréta,"###Human:
Correct this hungarian first name: Gréta

###Assistant:
Gréta"
Grétá,Gréta,"###Human:
Correct this hungarian first name: Grétá

###Assistant:
Gréta"
Grcta,Gréta,"###Human:
Correct this hungarian first name: Grcta

###Assistant:
Gréta"
Aiíz,Alíz,"###Human:
Correct this hungarian first name: Aiíz

###Assistant:
Alíz"
Aííz,Alíz,"###Human:
Correct this hungarian first name: Aííz

###Assistant:
Alíz"
Aliz,Alíz,"###Human:
Correct this hungarian first name: Aliz

###Assistant:
Alíz"
Alíz,Alíz,"###Human:
Correct this hungarian first name: Alíz

###Assistant:
Alíz"
Allz,Alíz,"###Human:
Correct this hungarian first name: Allz

###Assistant:
Alíz"
Aljz,Alíz,"###Human:
Correct this hungarian first name: Aljz

###Assistant:
Alíz"
Álíz,Alíz,"###Human:
Correct this hungarian first name: Álíz

###Assistant:
Alíz"
Adel,Adél,"###Human:
Correct this hungarian first name: Adel

###Assistant:
Adél"
Adéi,Adél,"###Human:
Correct this hungarian first name: Adéi

###Assistant:
Adél"
Adéí,Adél,"###Human:
Correct this hungarian first name: Adéí

###Assistant:
Adél"
Adél,Adél,"###Human:
Correct this hungarian first name: Adél

###Assistant:
Adél"
Adcl,Adél,"###Human:
Correct this hungarian first name: Adcl

###Assistant:
Adél"
Aqél,Adél,"###Human:
Correct this hungarian first name: Aqél

###Assistant:
Adél"
Ádél,Adél,"###Human:
Correct this hungarian first name: Ádél

###Assistant:
Adél"
Lílla,Lilla,"###Human:
Correct this hungarian first name: Lílla

###Assistant:
Lilla"
Liila,Lilla,"###Human:
Correct this hungarian first name: Liila

###Assistant:
Lilla"
Liíla,Lilla,"###Human:
Correct this hungarian first name: Liíla

###Assistant:
Lilla"
Lilia,Lilla,"###Human:
Correct this hungarian first name: Lilia

###Assistant:
Lilla"
Lilía,Lilla,"###Human:
Correct this hungarian first name: Lilía

###Assistant:
Lilla"
Lilla,Lilla,"###Human:
Correct this hungarian first name: Lilla

###Assistant:
Lilla"
Lillá,Lilla,"###Human:
Correct this hungarian first name: Lillá

###Assistant:
Lilla"
Lllla,Lilla,"###Human:
Correct this hungarian first name: Lllla

###Assistant:
Lilla"
Ljlla,Lilla,"###Human:
Correct this hungarian first name: Ljlla

###Assistant:
Lilla"
Líza,Liza,"###Human:
Correct this hungarian first name: Líza

###Assistant:
Liza"
Liza,Liza,"###Human:
Correct this hungarian first name: Liza

###Assistant:
Liza"
Lizá,Liza,"###Human:
Correct this hungarian first name: Lizá

###Assistant:
Liza"
Llza,Liza,"###Human:
Correct this hungarian first name: Llza

###Assistant:
Liza"
Ljza,Liza,"###Human:
Correct this hungarian first name: Ljza

###Assistant:
Liza"
Fióra,Flóra,"###Human:
Correct this hungarian first name: Fióra

###Assistant:
Flóra"
Fíóra,Flóra,"###Human:
Correct this hungarian first name: Fíóra

###Assistant:
Flóra"
Flora,Flóra,"###Human:
Correct this hungarian first name: Flora

###Assistant:
Flóra"
Flöra,Flóra,"###Human:
Correct this hungarian first name: Flöra

###Assistant:
Flóra"
Flőra,Flóra,"###Human:
Correct this hungarian first name: Flőra

###Assistant:
Flóra"
Flóra,Flóra,"###Human:
Correct this hungarian first name: Flóra

###Assistant:
Flóra"
Flórá,Flóra,"###Human:
Correct this hungarian first name: Flórá

###Assistant:
Flóra"
Elóra,Flóra,"###Human:
Correct this hungarian first name: Elóra

###Assistant:
Flóra"
Élóra,Flóra,"###Human:
Correct this hungarian first name: Élóra

###Assistant:
Flóra"
Borka,Dorka,"###Human:
Correct this hungarian first name: Borka

###Assistant:
Dorka"
Dórka,Dorka,"###Human:
Correct this hungarian first name: Dórka

###Assistant:
Dorka"
Dörka,Dorka,"###Human:
Correct this hungarian first name: Dörka

###Assistant:
Dorka"
Dőrka,Dorka,"###Human:
Correct this hungarian first name: Dőrka

###Assistant:
Dorka"
Dorka,Dorka,"###Human:
Correct this hungarian first name: Dorka

###Assistant:
Dorka"
Dorká,Dorka,"###Human:
Correct this hungarian first name: Dorká

###Assistant:
Dorka"
Porka,Dorka,"###Human:
Correct this hungarian first name: Porka

###Assistant:
Dorka"
Zseiyke,Zselyke,"###Human:
Correct this hungarian first name: Zseiyke

###Assistant:
Zselyke"
Zseíyke,Zselyke,"###Human:
Correct this hungarian first name: Zseíyke

###Assistant:
Zselyke"
Zselyke,Zselyke,"###Human:
Correct this hungarian first name: Zselyke

###Assistant:
Zselyke"
Zselyké,Zselyke,"###Human:
Correct this hungarian first name: Zselyké

###Assistant:
Zselyke"
Zselykc,Zselyke,"###Human:
Correct this hungarian first name: Zselykc

###Assistant:
Zselyke"
Zsélyke,Zselyke,"###Human:
Correct this hungarian first name: Zsélyke

###Assistant:
Zselyke"
Zsclyke,Zselyke,"###Human:
Correct this hungarian first name: Zsclyke

###Assistant:
Zselyke"
Bóra,Dóra,"###Human:
Correct this hungarian first name: Bóra

###Assistant:
Dóra"
Dora,Dóra,"###Human:
Correct this hungarian first name: Dora

###Assistant:
Dóra"
Döra,Dóra,"###Human:
Correct this hungarian first name: Döra

###Assistant:
Dóra"
Dőra,Dóra,"###Human:
Correct this hungarian first name: Dőra

###Assistant:
Dóra"
Dóra,Dóra,"###Human:
Correct this hungarian first name: Dóra

###Assistant:
Dóra"
Dórá,Dóra,"###Human:
Correct this hungarian first name: Dórá

###Assistant:
Dóra"
Póra,Dóra,"###Human:
Correct this hungarian first name: Póra

###Assistant:
Dóra"
Csenge,Csenge,"###Human:
Correct this hungarian first name: Csenge

###Assistant:
Csenge"
Csengé,Csenge,"###Human:
Correct this hungarian first name: Csengé

###Assistant:
Csenge"
Csengc,Csenge,"###Human:
Correct this hungarian first name: Csengc

###Assistant:
Csenge"
Csenqe,Csenge,"###Human:
Correct this hungarian first name: Csenqe

###Assistant:
Csenge"
Csénge,Csenge,"###Human:
Correct this hungarian first name: Csénge

###Assistant:
Csenge"
Cscnge,Csenge,"###Human:
Correct this hungarian first name: Cscnge

###Assistant:
Csenge"
Ianka,Janka,"###Human:
Correct this hungarian first name: Ianka

###Assistant:
Janka"
Íanka,Janka,"###Human:
Correct this hungarian first name: Íanka

###Assistant:
Janka"
Janka,Janka,"###Human:
Correct this hungarian first name: Janka

###Assistant:
Janka"
Janká,Janka,"###Human:
Correct this hungarian first name: Janká

###Assistant:
Janka"
Jánka,Janka,"###Human:
Correct this hungarian first name: Jánka

###Assistant:
Janka"
Líliána,Liliána,"###Human:
Correct this hungarian first name: Líliána

###Assistant:
Liliána"
Liiiána,Liliána,"###Human:
Correct this hungarian first name: Liiiána

###Assistant:
Liliána"
Liíiána,Liliána,"###Human:
Correct this hungarian first name: Liíiána

###Assistant:
Liliána"
Lilíána,Liliána,"###Human:
Correct this hungarian first name: Lilíána

###Assistant:
Liliána"
Liliana,Liliána,"###Human:
Correct this hungarian first name: Liliana

###Assistant:
Liliána"
Liliána,Liliána,"###Human:
Correct this hungarian first name: Liliána

###Assistant:
Liliána"
Liliáná,Liliána,"###Human:
Correct this hungarian first name: Liliáná

###Assistant:
Liliána"
Lillána,Liliána,"###Human:
Correct this hungarian first name: Lillána

###Assistant:
Liliána"
Liljána,Liliána,"###Human:
Correct this hungarian first name: Liljána

###Assistant:
Liliána"
Llliána,Liliána,"###Human:
Correct this hungarian first name: Llliána

###Assistant:
Liliána"
Ljliána,Liliána,"###Human:
Correct this hungarian first name: Ljliána

###Assistant:
Liliána"
Víktória,Viktória,"###Human:
Correct this hungarian first name: Víktória

###Assistant:
Viktória"
Viktoria,Viktória,"###Human:
Correct this hungarian first name: Viktoria

###Assistant:
Viktória"
Viktöria,Viktória,"###Human:
Correct this hungarian first name: Viktöria

###Assistant:
Viktória"
Viktőria,Viktória,"###Human:
Correct this hungarian first name: Viktőria

###Assistant:
Viktória"
Viktóría,Viktória,"###Human:
Correct this hungarian first name: Viktóría

###Assistant:
Viktória"
Viktória,Viktória,"###Human:
Correct this hungarian first name: Viktória

###Assistant:
Viktória"
Viktóriá,Viktória,"###Human:
Correct this hungarian first name: Viktóriá

###Assistant:
Viktória"
Viktórla,Viktória,"###Human:
Correct this hungarian first name: Viktórla

###Assistant:
Viktória"
Viktórja,Viktória,"###Human:
Correct this hungarian first name: Viktórja

###Assistant:
Viktória"
Vlktória,Viktória,"###Human:
Correct this hungarian first name: Vlktória

###Assistant:
Viktória"
Vjktória,Viktória,"###Human:
Correct this hungarian first name: Vjktória

###Assistant:
Viktória"
Úiktória,Viktória,"###Human:
Correct this hungarian first name: Úiktória

###Assistant:
Viktória"
Üiktória,Viktória,"###Human:
Correct this hungarian first name: Üiktória

###Assistant:
Viktória"
Űiktória,Viktória,"###Human:
Correct this hungarian first name: Űiktória

###Assistant:
Viktória"
Uiktória,Viktória,"###Human:
Correct this hungarian first name: Uiktória

###Assistant:
Viktória"
Szófia,Szofia,"###Human:
Correct this hungarian first name: Szófia

###Assistant:
Szofia"
Szöfia,Szofia,"###Human:
Correct this hungarian first name: Szöfia

###Assistant:
Szofia"
Szőfia,Szofia,"###Human:
Correct this hungarian first name: Szőfia

###Assistant:
Szofia"
Szofía,Szofia,"###Human:
Correct this hungarian first name: Szofía

###Assistant:
Szofia"
Szofia,Szofia,"###Human:
Correct this hungarian first name: Szofia

###Assistant:
Szofia"
Szofiá,Szofia,"###Human:
Correct this hungarian first name: Szofiá

###Assistant:
Szofia"
Szofla,Szofia,"###Human:
Correct this hungarian first name: Szofla

###Assistant:
Szofia"
Szofja,Szofia,"###Human:
Correct this hungarian first name: Szofja

###Assistant:
Szofia"
Reka,Réka,"###Human:
Correct this hungarian first name: Reka

###Assistant:
Réka"
Réka,Réka,"###Human:
Correct this hungarian first name: Réka

###Assistant:
Réka"
Réká,Réka,"###Human:
Correct this hungarian first name: Réká

###Assistant:
Réka"
Rcka,Réka,"###Human:
Correct this hungarian first name: Rcka

###Assistant:
Réka"
Banna,Panna,"###Human:
Correct this hungarian first name: Banna

###Assistant:
Panna"
Danna,Panna,"###Human:
Correct this hungarian first name: Danna

###Assistant:
Panna"
Panna,Panna,"###Human:
Correct this hungarian first name: Panna

###Assistant:
Panna"
Panná,Panna,"###Human:
Correct this hungarian first name: Panná

###Assistant:
Panna"
Pánna,Panna,"###Human:
Correct this hungarian first name: Pánna

###Assistant:
Panna"
Betra,Petra,"###Human:
Correct this hungarian first name: Betra

###Assistant:
Petra"
Detra,Petra,"###Human:
Correct this hungarian first name: Detra

###Assistant:
Petra"
Petra,Petra,"###Human:
Correct this hungarian first name: Petra

###Assistant:
Petra"
Petrá,Petra,"###Human:
Correct this hungarian first name: Petrá

###Assistant:
Petra"
Pétra,Petra,"###Human:
Correct this hungarian first name: Pétra

###Assistant:
Petra"
Pctra,Petra,"###Human:
Correct this hungarian first name: Pctra

###Assistant:
Petra"
Borina,Dorina,"###Human:
Correct this hungarian first name: Borina

###Assistant:
Dorina"
Dórina,Dorina,"###Human:
Correct this hungarian first name: Dórina

###Assistant:
Dorina"
Dörina,Dorina,"###Human:
Correct this hungarian first name: Dörina

###Assistant:
Dorina"
Dőrina,Dorina,"###Human:
Correct this hungarian first name: Dőrina

###Assistant:
Dorina"
Dorína,Dorina,"###Human:
Correct this hungarian first name: Dorína

###Assistant:
Dorina"
Dorina,Dorina,"###Human:
Correct this hungarian first name: Dorina

###Assistant:
Dorina"
Doriná,Dorina,"###Human:
Correct this hungarian first name: Doriná

###Assistant:
Dorina"
Dorlna,Dorina,"###Human:
Correct this hungarian first name: Dorlna

###Assistant:
Dorina"
Dorjna,Dorina,"###Human:
Correct this hungarian first name: Dorjna

###Assistant:
Dorina"
Porina,Dorina,"###Human:
Correct this hungarian first name: Porina

###Assistant:
Dorina"
Natasa,Natasa,"###Human:
Correct this hungarian first name: Natasa

###Assistant:
Natasa"
Natasá,Natasa,"###Human:
Correct this hungarian first name: Natasá

###Assistant:
Natasa"
Natása,Natasa,"###Human:
Correct this hungarian first name: Natása

###Assistant:
Natasa"
Nátasa,Natasa,"###Human:
Correct this hungarian first name: Nátasa

###Assistant:
Natasa"
